"ComputerName","File","FunctionName","Level","Line","Message","ModuleName","Runspace","Tags","TargetObject","Timestamp","Type","Username"
"AT40845","D:\github.com\PSAutoMic\bin\Start-PSAutoMic.ps1","Start-PodeApiServer","Verbose","332","Begin Start-PodeApiServer","<Unknown>","2755c089-e8b5-4e52-8305-2ef9d48b84b6","",,"28.02.2024 10:40:43","Verbose, Debug","AT40845\tinu"
"AT40845","D:\github.com\PSAutoMic\bin\Start-PSAutoMic.ps1","Invoke-BearerAuthtication","Verbose","128","Initialize Invoke-BearerAuthtication","<Unknown>","2755c089-e8b5-4e52-8305-2ef9d48b84b6","",,"28.02.2024 10:40:44","Verbose, Debug","AT40845\tinu"
"AT40845","D:\github.com\PSAutoMic\bin\Start-PSAutoMic.ps1","New-AssetToQueue","Verbose","187","Initialize New-AssetToQueue","<Unknown>","2755c089-e8b5-4e52-8305-2ef9d48b84b6","",,"28.02.2024 10:40:44","Verbose, Debug","AT40845\tinu"
"AT40845","D:\github.com\PSAutoMic\bin\Start-PSAutoMic.ps1","Remove-AssetFromQueue","Verbose","229","Initialize Remove-AssetFromQueue","<Unknown>","2755c089-e8b5-4e52-8305-2ef9d48b84b6","",,"28.02.2024 10:40:44","Verbose, Debug","AT40845\tinu"
"AT40845","D:\github.com\PSAutoMic\bin\Start-PSAutoMic.ps1","Add-PodeApiEndpoint","Verbose","266","Initialize Add-PodeApiEndpoint","<Unknown>","2755c089-e8b5-4e52-8305-2ef9d48b84b6","",,"28.02.2024 10:40:44","Verbose, Debug","AT40845\tinu"
"AT40845","D:\github.com\PSAutoMic\bin\Start-PSAutoMic.ps1","Start-PodeApiServer","Verbose","358","Process API","<Unknown>","2755c089-e8b5-4e52-8305-2ef9d48b84b6","",,"28.02.2024 10:40:44","Verbose, Debug","AT40845\tinu"
"AT40845","D:\github.com\PSAutoMic\bin\Start-PSAutoMic.ps1","Start-PodeApiServer","Verbose","332","Begin Start-PodeApiServer","<Unknown>","ea0387bb-041a-4b28-9a62-c286ec8ad2b4","",,"28.02.2024 17:29:39","Verbose, Debug","AT40845\tinu"
"AT40845","D:\github.com\PSAutoMic\bin\Start-PSAutoMic.ps1","Invoke-BearerAuthtication","Verbose","128","Initialize Invoke-BearerAuthtication","<Unknown>","ea0387bb-041a-4b28-9a62-c286ec8ad2b4","",,"28.02.2024 17:29:39","Verbose, Debug","AT40845\tinu"
"AT40845","D:\github.com\PSAutoMic\bin\Start-PSAutoMic.ps1","New-AssetToQueue","Verbose","187","Initialize New-AssetToQueue","<Unknown>","ea0387bb-041a-4b28-9a62-c286ec8ad2b4","",,"28.02.2024 17:29:39","Verbose, Debug","AT40845\tinu"
"AT40845","D:\github.com\PSAutoMic\bin\Start-PSAutoMic.ps1","Remove-AssetFromQueue","Verbose","229","Initialize Remove-AssetFromQueue","<Unknown>","ea0387bb-041a-4b28-9a62-c286ec8ad2b4","",,"28.02.2024 17:29:39","Verbose, Debug","AT40845\tinu"
"AT40845","D:\github.com\PSAutoMic\bin\Start-PSAutoMic.ps1","Add-PodeApiEndpoint","Verbose","266","Initialize Add-PodeApiEndpoint","<Unknown>","ea0387bb-041a-4b28-9a62-c286ec8ad2b4","",,"28.02.2024 17:29:39","Verbose, Debug","AT40845\tinu"
"AT40845","D:\github.com\PSAutoMic\bin\Start-PSAutoMic.ps1","Start-PodeApiServer","Verbose","358","Process API","<Unknown>","ea0387bb-041a-4b28-9a62-c286ec8ad2b4","",,"28.02.2024 17:29:40","Verbose, Debug","AT40845\tinu"
